Date,Close
3/3/2015 ,198.14
3/4/2015 ,194.61
3/5/2015 ,193.69
3/6/2015 ,192.14
3/9/2015 ,192.47
3/10/2015 ,190.92
3/11/2015 ,191.03
3/12/2015 ,192.66
3/13/2015 ,191.91
3/16/2015 ,195.51
3/17/2015 ,194.94
3/18/2015 ,195.86
3/19/2015 ,197.66
3/20/2015 ,196.78
3/23/2015 ,200.62
3/24/2015 ,195.36
3/25/2015 ,188.06
3/26/2015 ,189.14
3/27/2015 ,192.06
3/30/2015 ,197.65
3/31/2015 ,197.83
4/1/2015 ,197.66
4/2/2015 ,198.29
4/6/2015 ,200.06
4/7/2015 ,197.08
4/8/2015 ,196.78
4/9/2015 ,200.32
4/10/2015 ,207.36
4/13/2015 ,199.59
4/14/2015 ,197.64
4/15/2015 ,195.45
4/16/2015 ,196.2
4/17/2015 ,193.36
4/20/2015 ,196.99
4/21/2015 ,199.43
4/22/2015 ,198.86
4/23/2015 ,200.72
4/24/2015 ,199.49
4/27/2015 ,200.11
4/28/2015 ,200.19
4/29/2015 ,200
4/30/2015 ,204.43
5/1/2015 ,204.47
5/4/2015 ,202.44
5/5/2015 ,199.27
5/6/2015 ,197.68
5/7/2015 ,198.53
5/8/2015 ,202.46
5/11/2015 ,203.34
5/12/2015 ,205.97
5/13/2015 ,205.18
5/14/2015 ,209.65
5/15/2015 ,211.66
5/18/2015 ,213.13
5/19/2015 ,214.2
5/20/2015 ,210.29
5/21/2015 ,212.47
5/22/2015 ,209.63
5/26/2015 ,208.38
5/27/2015 ,210.45
5/28/2015 ,211.98
5/29/2015 ,208.91
6/1/2015 ,206.59
6/2/2015 ,205.96
6/3/2015 ,207.69
6/4/2015 ,205.83
6/5/2015 ,210.15
6/8/2015 ,205.85
6/9/2015 ,201.31
6/10/2015 ,205.75
6/11/2015 ,204.18
6/12/2015 ,206.34
6/15/2015 ,204.89
6/16/2015 ,207.27
6/17/2015 ,206.3
6/18/2015 ,208.4
6/19/2015 ,206.99
6/22/2015 ,208.32
6/23/2015 ,205.8
6/24/2015 ,203.51
6/25/2015 ,206.34
6/26/2015 ,206.06
6/29/2015 ,201.52
6/30/2015 ,201.26
7/1/2015 ,201.31
7/2/2015 ,202.46
7/6/2015 ,202.8
7/7/2015 ,204.46
7/8/2015 ,200.36
7/9/2015 ,203.77
7/10/2015 ,208.12
7/13/2015 ,207.89
7/14/2015 ,206.11
7/15/2015 ,210.41
7/16/2015 ,215.23
7/17/2015 ,216.45
7/20/2015 ,217.05
7/21/2015 ,218.43
7/22/2015 ,213.76
7/23/2015 ,214
7/24/2015 ,214.83
7/27/2015 ,209.52
7/28/2015 ,211.36
7/29/2015 ,212.85
7/30/2015 ,207.49
7/31/2015 ,201.29
8/3/2015 ,197.27
8/4/2015 ,195.87
8/5/2015 ,197.95
8/6/2015 ,194.55
8/7/2015 ,196.91
8/10/2015 ,200.28
8/11/2015 ,198.56
8/12/2015 ,196.51
8/13/2015 ,195.46
8/14/2015 ,195.58
8/17/2015 ,196.16
8/18/2015 ,193.68
8/19/2015 ,192.14
8/20/2015 ,188.1
8/21/2015 ,181.61
8/24/2015 ,170
8/25/2015 ,170.74
8/26/2015 ,175.24
